r,n,t
10,6700,641
11,6700,525
12,6700,513
13,6700,513
14,6700,513
15,6700,513
16,6700,513
2,6800,1854
3,6800,1181
4,6800,914
5,6800,784
6,6800,784
7,6800,657
8,6800,653
9,6800,654
10,6800,652
11,6800,522
12,6800,523
13,6800,522
14,6800,526
15,6800,522
16,6800,522
2,6900,2071
3,6900,1194
4,6900,967
5,6900,796
6,6900,795
7,6900,663
8,6900,664
9,6900,669
10,6900,662
11,6900,530
12,6900,530
13,6900,530
14,6900,530
15,6900,533
16,6900,530
2,7000,1915
3,7000,1212
4,7000,946
5,7000,807
6,7000,807
7,7000,673
8,7000,672
9,7000,673
10,7000,676
11,7000,538
12,7000,539
13,7000,539
14,7000,538
15,7000,538
16,7000,538
2,7100,2005
3,7100,1229
4,7100,956
5,7100,825
6,7100,818
7,7100,683
8,7100,682
9,7100,682
10,7100,682
11,7100,549
12,7100,546
13,7100,546
14,7100,546
15,7100,546
16,7100,546
2,7200,1969
3,7200,1246
4,7200,968
5,7200,830
6,7200,833
7,7200,691
8,7200,691
9,7200,692
10,7200,691
11,7200,553
12,7200,557
13,7200,553
14,7200,553
15,7200,553
16,7200,553
2,7300,2219
3,7300,1262
4,7300,982
5,7300,876
6,7300,847
7,7300,699
8,7300,699
9,7300,700
10,7300,700
11,7300,560
12,7300,577
13,7300,560
14,7300,559
15,7300,559
16,7300,559
2,7400,2023
3,7400,1279
4,7400,995
5,7400,852
6,7400,854
7,7400,710
8,7400,709
9,7400,710
10,7400,709
11,7400,567
12,7400,571
13,7400,568
14,7400,568
15,7400,609
16,7400,569
2,7500,2105
3,7500,1303
4,7500,1013
5,7500,867
6,7500,871
7,7500,722
8,7500,722
9,7500,722
10,7500,722
11,7500,595
12,7500,578
13,7500,578
14,7500,578
15,7500,578
16,7500,578
2,7600,2087
3,7600,1320
4,7600,1026
5,7600,883
6,7600,879
7,7600,733
8,7600,733
9,7600,733
10,7600,762
11,7600,626
12,7600,586
13,7600,585
14,7600,586
15,7600,586
16,7600,585
2,7700,2129
3,7700,1377
4,7700,1046
5,7700,891
6,7700,890
7,7700,741
8,7700,742
9,7700,745
10,7700,741
11,7700,592
12,7700,592
13,7700,593
14,7700,593
15,7700,597
16,7700,592
2,7800,2135
3,7800,1353
4,7800,1056
5,7800,901
6,7800,901
7,7800,794
8,7800,764
9,7800,821
10,7800,878
11,7800,600
12,7800,601
13,7800,600
14,7800,601
15,7800,600
16,7800,636
2,7900,2168
3,7900,1376
4,7900,1065
5,7900,913
6,7900,916
7,7900,760
8,7900,761
9,7900,760
10,7900,760
11,7900,608
12,7900,612
13,7900,608
14,7900,609
15,7900,608
16,7900,608
2,8000,2191
3,8000,1612
4,8000,1076
5,8000,928
6,8000,960
7,8000,768
8,8000,767
9,8000,774
10,8000,767
11,8000,614
12,8000,614
13,8000,614
14,8000,615
15,8000,614
16,8000,614
2,8100,2223
3,8100,1421
4,8100,1092
5,8100,936
6,8100,935
7,8100,780
8,8100,784
9,8100,779
10,8100,779
11,8100,623
12,8100,623
13,8100,627
14,8100,623
15,8100,623
16,8100,624
2,8200,2469
3,8200,1422
4,8200,1105
5,8200,986
6,8200,949
7,8200,788
8,8200,788
9,8200,788
10,8200,815
11,8200,630
12,8200,630
13,8200,630
14,8200,631
15,8200,631
16,8200,635
2,8300,2276
3,8300,1438
4,8300,1122
5,8300,958
6,8300,958
7,8300,798
8,8300,802
9,8300,798
10,8300,798
11,8300,638
12,8300,679
13,8300,829
14,8300,638
15,8300,638
16,8300,638
2,8400,2323
3,8400,1465
4,8400,1140
5,8400,989
6,8400,978
7,8400,815
8,8400,815
9,8400,818
10,8400,815
11,8400,653
12,8400,653
13,8400,653
14,8400,652
15,8400,676
16,8400,655
2,8500,2323
3,8500,1486
4,8500,1153
5,8500,1031
6,8500,1004
7,8500,827
8,8500,825
9,8500,968
10,8500,880
11,8500,677
12,8500,672
13,8500,663
14,8500,662
15,8500,702
16,8500,662
2,8600,2356
3,8600,1498
4,8600,1170
5,8600,999
6,8600,999
7,8600,834
8,8600,838
9,8600,834
10,8600,834
11,8600,668
12,8600,668
13,8600,671
14,8600,669
15,8600,668
16,8600,668
2,8700,2564
3,8700,1659
4,8700,1280
5,8700,1080
6,8700,1082
7,8700,899
8,8700,905
9,8700,899
10,8700,901
11,8700,718
12,8700,719
13,8700,719
14,8700,720
15,8700,717
16,8700,720
2,8800,2423
3,8800,1535
4,8800,1198
5,8800,1025
6,8800,1024
7,8800,855
8,8800,916
9,8800,858
10,8800,854
11,8800,685
12,8800,686
13,8800,699
14,8800,686
15,8800,825
16,8800,741
2,8900,2447
3,8900,1557
4,8900,1217
5,8900,1040
6,8900,1041
7,8900,869
8,8900,872
9,8900,868
10,8900,869
11,8900,696
12,8900,696
13,8900,701
14,8900,697
15,8900,696
16,8900,696
2,9000,2697
3,9000,1600
4,9000,1229
5,9000,1090
6,9000,1050
7,9000,877
8,9000,882
9,9000,877
10,9000,876
11,9000,703
12,9000,702
13,9000,707
14,9000,703
15,9000,703
16,9000,703
2,9100,2499
3,9100,1595
4,9100,1239
5,9100,1069
6,9100,1066
7,9100,889
8,9100,888
9,9100,893
10,9100,889
11,9100,742
12,9100,715
13,9100,724
14,9100,714
15,9100,712
16,9100,713
2,9200,2580
3,9200,1620
4,9200,1265
5,9200,1082
6,9200,1081
7,9200,903
8,9200,907
9,9200,903
10,9200,903
11,9200,725
12,9200,724
13,9200,728
14,9200,724
15,9200,724
16,9200,725
2,9300,2585
3,9300,1736
4,9300,1377
5,9300,1088
6,9300,1084
7,9300,967
8,9300,908
9,9300,906
10,9300,915
11,9300,727
