x,y
649,112733
974,167052
1194,254646
1297,200390
597,89360
360,52903
86,11696
1212,184128
1157,208125
890,153280
1091,188147
1049,180966
965,160742
549,72313
1301,194850
1391,230656
561,74936
872,136422
709,124562
224,28478
958,154026
108,22712
37,4054
810,151047
810,147806
746,140747
1240,230697
1020,185802
1064,181166
1293,206687
643,119907
801,136243
664,117701
1234,203332
1248,208554
948,160935
795,137649
304,41161
142,25958
1309,212471
1118,192895
537,70210
759,129000
553,72751
853,133824
1095,187963
885,179796
1146,185770
830,147186
655,127256
1326,218302
514,90432
992,174850
185,29002
1002,167699
539,108036
476,91883
219,27369
861,138698
683,126188
1313,193659
180,23915
623,114652
779,145834
1017,176207
1331,225421
192,33758
46,4569
682,138064
1050,178010
971,190794
761,132485
506,83947
1124,174886
432,71500
1491,236376
144,18540
485,70038
418,59654
1208,183560
1424,239046
998,185611
983,163208
1437,241619
69,17706
474,62031
1321,199126
727,125692
1269,210636
841,146458
673,128393
492,92875
205,25226
50,4926
536,115017
1245,216941
494,85171
604,81575
994,138565
1052,160972
724,128357
630,108060
724,127496
1292,201151
744,128843
476,86784
284,37072
974,164994
405,53049
999,181259
493,63810
351,84735
991,164740
792,137990
1230,203390
1037,178172
97,21360
424,55630
314,50682
725,143299
879,153084
721,115835
719,118511
965,146119
1229,201948
1106,165799
1164,187860
135,17018
723,109238
168,24367
733,120449
1092,167188
330,42429
1179,189750
389,50486
1241,185085
1263,186040
737,110142
724,132926
722,124388
323,40450
1367,222220
566,76685
198,49398
919,158621
1404,234055
1196,203630
1179,235437
1488,262367
293,45538
679,115931
36,3382
715,105224
1395,209503
165,22095
389,61708
85,11197
425,70486
824,137590
1292,192541
705,115666
1482,234414
217,31477
644,128935
1175,181162
330,48565
249,38845
1396,222325
1139,172024
137,18445
78,9579
1404,267607
1308,201032
646,149424
505,68016
408,82980
783,141852
1100,190880
384,49244
244,58921
1180,241453
500,104036
746,193837
916,164864
898,180637
1011,176851
726,127662
983,173000
1448,251919
200,34892
958,181809
255,41715
961,177923
480,62204
1154,194688
16,1164
1458,240896
897,153720
1247,209726
1403,244674
769,157434
719,128593
933,166444
213,36703
556,114753
137,15546
1039,216061
416,68765
1277,247150
